model,folds,average_precision_mean,average_precision_sd,roc_auc_mean,roc_auc_sd,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,brier_mean,brier_sd,fit_seconds_mean,fit_seconds_sd
majority,15,0.2653532460941748,9.755521373963258e-05,0.5,0.0,0.7346467539058252,9.755521373965557e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.19494090587420035,4.578978807595016e-05,0.00019046667342384656,3.146931537160862e-05
logistic_regression,15,0.6548563069856297,0.029190816290528433,0.8436976688253307,0.013050756377766374,0.8041039073749818,0.013735481223165261,0.6582699351310948,0.03319964803642618,0.5460423634336676,0.02439627374436907,0.596724891347673,0.026128157334495382,0.13614113297665043,0.005487605924080139,0.09603842667226369,0.004537821720950109
hist_gradient_boosting,15,0.6424567379046129,0.021412754567907717,0.8338647390860277,0.009991608548994325,0.7949342869435984,0.006455026093506665,0.6394585940117076,0.01694624571594826,0.5219620958751394,0.01601298169817444,0.5745760526866077,0.012679943225662472,0.1413452203738853,0.005284693646001081,0.5010976399993524,0.1196571121149133
ann,15,0.6532377880011577,0.027509539284507552,0.8414245008058369,0.013257629958831663,0.8014421306401935,0.011697163417160612,0.6552859191074568,0.026574706696840967,0.5315496098104794,0.03181571408618768,0.58664396997259,0.02692836766674034,0.13698048690954845,0.005374176870105567,35.799077773334766,6.968057949926908
