fold_id,repeat,split,model,train_rows,validation_rows,train_churn_rate,validation_churn_rate,average_precision,roc_auc,accuracy,precision,recall,f1,brier,fit_seconds,encoded_features,iterations,epochs_run,best_epoch,best_val_loss
1,1,1,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.00018159998580813408,,,,,
1,1,1,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.6647009193209593,0.8517663548381886,0.8154392191659272,0.6812749003984063,0.5719063545150501,0.6218181818181818,0.13147852876619626,0.10107420000713319,30.0,45.0,,,
1,1,1,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6467109803479085,0.8401879049327065,0.8039041703637977,0.6611570247933884,0.5351170568561873,0.5914972273567468,0.13685427408076245,0.4301393000059761,30.0,100.0,,,
1,1,1,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.6679850740805302,0.8488661884219539,0.8189884649511979,0.6779026217228464,0.6053511705685619,0.6395759717314488,0.13233807682991028,41.22529079997912,30.0,,118.0,108.0,0.4355890154838562
2,1,2,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.00023550004698336124,,,,,
2,1,2,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.6752465117976265,0.848197696023783,0.8012422360248447,0.6582278481012658,0.5217391304347826,0.582089552238806,0.13455943230823883,0.09311980003258213,30.0,47.0,,,
2,1,2,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6564767272907198,0.8343875721002374,0.7968056787932565,0.64,0.5351170568561873,0.5828779599271403,0.13994275290819339,0.4224508000188507,30.0,100.0,,,
2,1,2,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.6531538397329343,0.8450067051201267,0.7914818101153505,0.6311475409836066,0.5150501672240803,0.567219152854512,0.1371380090713501,42.521489100006875,30.0,,128.0,118.0,0.42961180210113525
3,1,3,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.00018809997709468007,,,,,
3,1,3,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.635240032698421,0.8365283634659816,0.7870452528837621,0.6234309623430963,0.4983277591973244,0.5539033457249071,0.13911385355033484,0.08803659997647628,30.0,49.0,,,
3,1,3,hist_gradient_boosting,4507,1127,0.2653649877967606,0.2653061224489796,0.6307116774721082,0.8343310228943499,0.7914818101153505,0.6367521367521367,0.4983277591973244,0.5590994371482176,0.14180861164519865,0.8973186999792233,30.0,100.0,,,
3,1,3,ann,4507,1127,0.2653649877967606,0.2653061224489796,0.6414011629307979,0.8353852616612542,0.7870452528837621,0.62882096069869,0.4816053511705686,0.5454545454545454,0.13967536389827728,36.326074700045865,30.0,,115.0,105.0,0.4024564325809479
4,1,4,majority,4507,1127,0.2653649877967606,0.2653061224489796,0.2653061224489796,0.5,0.7346938775510204,0.0,0.0,0.0,0.19491878730519582,0.00017190002836287022,,,,,
4,1,4,logistic_regression,4507,1127,0.2653649877967606,0.2653061224489796,0.6784739398987537,0.8598185578336807,0.8163265306122449,0.6854838709677419,0.568561872909699,0.6215722120658135,0.13030129368719848,0.09000399999786168,30.0,45.0,,,
