feature_set,average_precision_mean,average_precision_sd,roc_auc_mean,roc_auc_sd,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,f1_mean,f1_sd,brier_mean,brier_sd
full,0.6548563069856297,0.029190816290528433,0.8436976688253307,0.013050756377766374,0.8041039073749818,0.013735481223165261,0.6582699351310948,0.03319964803642618,0.5460423634336676,0.02439627374436907,0.596724891347673,0.026128157334495382,0.13614113297665043,0.005487605924080139
reduced,0.6575843694519992,0.02881719318044047,0.8438797870944376,0.013272203662410807,0.8038670283156896,0.012961338973311727,0.6567066147264989,0.030418436807586633,0.5478260869565218,0.02474528965944714,0.5971653762613223,0.025353756115251237,0.13607231267318567,0.005591073137793829
