model,threshold,accuracy,precision,recall,f1,average_precision,roc_auc,brier
majority_baseline,,0.7345635202271115,0.0,0.0,0.0,0.2654364797728886,0.5,0.1949799619120813
final_logistic_calibrated,0.4,0.7899219304471257,0.5942028985507246,0.6577540106951871,0.6243654822335025,0.6483721881999323,0.8470200728512749,0.135621456270806
incumbent_module6_ann,0.5,0.7927608232789212,0.6453900709219859,0.48663101604278075,0.5548780487804879,0.6439484989976306,0.8445413211397865,0.13641415536403656
