metric,estimate,ci_2_5,ci_97_5,bootstrap_samples
accuracy,0.7899219304471257,0.7693399574166075,0.8119233498935415,2000
precision,0.5942028985507246,0.5458665975652787,0.6437371680522366,2000
recall,0.6577540106951871,0.6081054054054054,0.7062032045522612,2000
f1,0.6243654822335025,0.5845295967723688,0.6649940389786732,2000
average_precision,0.6483721881999323,0.5958153984993264,0.7019149072644597,2000
roc_auc,0.8470200728512749,0.8254907058540673,0.8680158611884959,2000
brier,0.135621456270806,0.1259873761647731,0.145247194537347,2000
